Airport_code,Page_Rank
HNL,0.7225277222777222
ONT,0.7225277222777222
SAN,0.7225277222777222
ANC,0.7225277222777222
HCR,0.7225277222777222
KGX,0.7225277222777222
ANI,0.7225277222777222
HCR,0.7225277222777222
KGX,0.7225277222777222
ANI,0.7225277222777222
KGX,0.7225277222777222
ANC,0.7225277222777222
ANC,0.7225277222777222
BKC,0.656979611297793
SGR,0.6568433838888385
BZN,0.6568433838888385
TKF,0.6568433838888385
TVL,0.6568433838888385
HHR,0.6568433838888385
HHR,0.6568433838888385
TSM,0.6568433838888385
SJC,0.6568433838888385
MTH,0.6568433838888385
SJC,0.6568433838888385
APA,0.6568433838888385
BLI,0.6568433838888385
BFI,0.6568433838888385
MVW,0.6568433838888385
BFI,0.6568433838888385
FRD,0.6568433838888385
PAE,0.6568433838888385
FRD,0.6568433838888385
FRD,0.6568433838888385
MVW,0.6568433838888385
BLI,0.6568433838888385
SUN,0.6568433838888385
FRD,0.6022437978687978
SMF,0.6022437978687978
WFB,0.6021688727938728
WFB,0.6021688727938728
TAL,0.6021688727938728
TAL,0.6021688727938728
HTO,0.6021688727938728
TEB,0.6021688727938728
CLE,0.6021688727938728
RDU,0.6021688727938728
CLE,0.6021688727938728
RDU,0.6021688727938728
HNL,0.6021688727938728
MKK,0.6021688727938728
SDF,0.6021688727938728
MDW,0.6021688727938728
TKJ,0.6021688727938728
TKJ,0.6021688727938728
TKJ,0.6021688727938728
TKJ,0.6021688727938728
A43,0.6021438977688978
ALZ,0.6021438977688978
KOY,0.6021438977688978
MNT,0.6021438977688978
RMP,0.6021438977688978
FAI,0.6021438977688978
DFW,0.6021438977688978
DFW,0.6021438977688978
TXK,0.6021438977688978
A43,0.6021438977688978
A43,0.6021438977688978
AOS,0.6021438977688978
A43,0.6021438977688978
A43,0.6021438977688978
AOS,0.6021438977688978
HTO,0.6021314102564101
ACK,0.6021314102564101
MMU,0.6021314102564101
MDW,0.6021314102564101
FAI,0.6021314102564101
FAI,0.6021314102564101
FAI,0.6021314102564101
FAI,0.6021314102564101
A43,0.6021314102564101
A43,0.6021314102564101
KMY,0.6021314102564101
A43,0.6021314102564101
FAI,0.6021314102564101
FAI,0.6021314102564101
MLY,0.6021314102564101
FAI,0.6021314102564101
A43,0.6021314102564101
A43,0.6021314102564101
KZB,0.6021314102564101
KZB,0.6021314102564101
DEN,0.6021314102564101
DEN,0.6021314102564101
OMA,0.6021314102564101
DEN,0.6021314102564101
HNL,0.6021189227439226
LNY,0.6021189227439226
LUP,0.6021189227439226
HNL,0.6021189227439226
OGG,0.6021189227439226
LNY,0.6021189227439226
ONH,0.6021189227439226
GFL,0.6021189227439226
ACK,0.6021189227439226
HPN,0.6021189227439226
HTO,0.6021189227439226
TTN,0.6021189227439226
CKX,0.6021189227439226
CZN,0.6021189227439226
HKB,0.6021189227439226
CZN,0.6021189227439226
FAI,0.6021189227439226
HNS,0.6021189227439226
CKX,0.6021189227439226
CZN,0.6021189227439226
HKB,0.6021189227439226
CZN,0.6021189227439226
FAI,0.6021189227439226
HNS,0.6021189227439226
DEN,0.6021064352314353
LAX,0.6021064352314353
SFO,0.6021064352314353
COS,0.6021064352314353
SFO,0.6021064352314353
FAT,0.6021064352314353
PHX,0.6021064352314353
SMF,0.6021064352314353
UKI,0.6021064352314353
CEC,0.6021064352314353
BUR,0.6021064352314353
SBA,0.6021064352314353
ANC,0.6021064352314353
ANC,0.6021064352314353
YAK,0.6021064352314353
ADQ,0.6021064352314353
ADQ,0.6021064352314353
NNK,0.6021064352314353
AKN,0.6021064352314353
AKN,0.6021064352314353
KLN,0.6021064352314353
ENA,0.6021064352314353
ANC,0.6021064352314353
ILI,0.6021064352314353
ESD,0.6021064352314353
RNT,0.6021064352314353
BFI,0.6021064352314353
ESD,0.6021064352314353
LPS,0.6021064352314353
BFI,0.6021064352314353
PDX,0.6021064352314353
ESD,0.6021064352314353
SNA,0.6021064352314353
PAE,0.6021064352314353
SEA,0.6021064352314353
ESD,0.6021064352314353
DEN,0.5557905555982479
AZA,0.5557905555982479
DEN,0.5557905555982479
AZA,0.5557905555982479
LAX,0.5557905555982479
SNA,0.5557905555982479
TUS,0.5557905555982479
TEX,0.5557905555982479
LAS,0.5557905555982479
OAK,0.5557905555982479
BZN,0.5557905555982479
SLC,0.5557905555982479
BUR,0.5557905555982479
FAI,0.516230376766091
PGA,0.516230376766091
PGA,0.516230376766091
WFB,0.516155451691166
WFB,0.516155451691166
BTV,0.516155451691166
TEB,0.516155451691166
TN8,0.516155451691166
LUK,0.516155451691166
HNL,0.516155451691166
HNL,0.516155451691166
WFB,0.516155451691166
WFB,0.516155451691166
SLK,0.5161019337805052
MVY,0.5161019337805052
NPT,0.5161019337805052
BID,0.5161019337805052
CEU,0.5161019337805052
SFO,0.5161019337805052
VA4,0.5161019337805052
ECP,0.5161019337805052
MQY,0.5161019337805052
MO4,0.5161019337805052
GLR,0.5161019337805052
APA,0.5161019337805052
APF,0.5161019337805052
DSI,0.5161019337805052
ECP,0.5161019337805052
MQY,0.5161019337805052
MO4,0.5161019337805052
GLR,0.5161019337805052
APA,0.5161019337805052
APF,0.5161019337805052
DSI,0.5161019337805052
DEN,0.516091230198373
SLC,0.516091230198373
RAP,0.516091230198373
DEN,0.516091230198373
SLC,0.516091230198373
COD,0.516091230198373
OKC,0.516091230198373
BFF,0.516091230198373
RKS,0.516091230198373
HDN,0.516091230198373
BOI,0.516091230198373
BIL,0.516091230198373
MEM,0.516091230198373
DEN,0.516091230198373
ACY,0.516091230198373
EGE,0.516091230198373
TEB,0.516091230198373
N4Y,0.516091230198373
ACK,0.516091230198373
SAN,0.516091230198373
ACY,0.516091230198373
PHL,0.516091230198373
HPN,0.516091230198373
TEB,0.516091230198373
VNY,0.516091230198373
IND,0.516091230198373
ACY,0.516091230198373
ECG,0.516091230198373
ACY,0.516091230198373
EGE,0.516091230198373
TEB,0.516091230198373
N4Y,0.516091230198373
ACK,0.516091230198373
SAN,0.516091230198373
ACY,0.516091230198373
PHL,0.516091230198373
HPN,0.516091230198373
TEB,0.516091230198373
VNY,0.516091230198373
IND,0.516091230198373
ACY,0.516091230198373
ECG,0.516091230198373
BUR,0.4818250083250083
YIP,0.4817251082251082
DVL,0.4817251082251082
DEN,0.4817251082251082
BRW,0.4817251082251082
UMT,0.4817251082251082
FAI,0.4817251082251082
WWP,0.4817251082251082
WFB,0.4817251082251082
EDA,0.4817251082251082
IND,0.4817251082251082
SAV,0.4817251082251082
N3C,0.4817251082251082
CPX,0.4817251082251082
CPX,0.4817251082251082
VQS,0.4817251082251082
ANC,0.4817251082251082
SNP,0.4817251082251082
DUT,0.4817251082251082
ANC,0.4817251082251082
SNP,0.4817251082251082
DUT,0.4817251082251082
BID,0.4817251082251082
BID,0.4817251082251082
ACK,0.4817251082251082
BID,0.4817251082251082
BID,0.4817251082251082
ACK,0.4817251082251082
MYK,0.4817251082251082
ANC,0.4817251082251082
MXY,0.4817251082251082
N4Y,0.4817251082251082
WKV,0.4817251082251082
TEB,0.4817251082251082
DTW,0.4817251082251082
MKE,0.4817251082251082
MSP,0.4817251082251082
COS,0.4817251082251082
GJT,0.4817251082251082
DEN,0.4817251082251082
ATL,0.4817251082251082
BED,0.4817251082251082
JZT,0.4817251082251082
VQS,0.4817251082251082
CPX,0.4817251082251082
CPX,0.4817251082251082
A43,0.4817251082251082
A43,0.4817251082251082
AOS,0.4817251082251082
LRD,0.4817251082251082
YIP,0.4817251082251082
MQY,0.4817251082251082
STS,0.4817051282051281
BZN,0.4817051282051281
SNA,0.4817051282051281
HHR,0.4817051282051281
SAN,0.4817051282051281
GTR,0.4817051282051281
YIP,0.4817051282051281
DTN,0.4817051282051281
SUS,0.4817051282051281
YIP,0.4817051282051281
FOK,0.4817051282051281
JRA,0.4817051282051281
FRG,0.4817051282051281
TEB,0.4817051282051281
TSS,0.4817051282051281
ANC,0.4817051282051281
STG,0.4817051282051281
ANC,0.4817051282051281
STG,0.4817051282051281
DUT,0.4817051282051281
WST,0.4817051282051281
WST,0.4817051282051281
LEB,0.4817051282051281
HPN,0.4817051282051281
TEB,0.4817051282051281
WST,0.4817051282051281
WST,0.4817051282051281
LEB,0.4817051282051281
HPN,0.4817051282051281
TEB,0.4817051282051281
BFF,0.4817051282051281
COS,0.4817051282051281
DEN,0.4817051282051281
CID,0.4817051282051281
JMS,0.4817051282051281
NKI,0.4817051282051281
PPV,0.4817051282051281
WFB,0.4817051282051281
WFB,0.4817051282051281
WFB,0.4817051282051281
RBD,0.4817051282051281
TEB,0.4817051282051281
BNA,0.4817051282051281
FOK,0.4817051282051281
PVD,0.4817051282051281
FAI,0.4817051282051281
BTT,0.4817051282051281
BTT,0.4817051282051281
LNI,0.4817051282051281
BRW,0.4817051282051281
SJU,0.4817051282051281
SJU,0.4817051282051281
JRV,0.4817051282051281
SIG,0.4817051282051281
STX,0.4817051282051281
SJU,0.4817051282051281
SJU,0.4817051282051281
JRV,0.4817051282051281
SIG,0.4817051282051281
STX,0.4817051282051281
DEN,0.45164538586413583
DEN,0.45164538586413583
DEN,0.4516079233266733
BFF,0.4516079233266733
MAF,0.4516079233266733
ASE,0.4516079233266733
KCG,0.4516079233266733
KCQ,0.4516079233266733
KPV,0.4516079233266733
AKN,0.4516079233266733
KCL,0.4516079233266733
KPV,0.4516079233266733
PTH,0.4516079233266733
AKN,0.4516079233266733
OTZ,0.4515798264235764
DRG,0.4515798264235764
OME,0.4515798264235764
OTZ,0.4515798264235764
DRG,0.4515798264235764
OTZ,0.4515798264235764
RDB,0.4515798264235764
WTK,0.4515798264235764
WLK,0.4515798264235764
DRG,0.4515798264235764
RDB,0.4515798264235764
OTZ,0.4515798264235764
DRG,0.4515798264235764
OME,0.4515798264235764
OTZ,0.4515798264235764
UNK,0.4515798264235764
EDF,0.4251573426573426
EDF,0.4251573426573426
MDW,0.4251573426573426
PHX,0.4251573426573426
HYA,0.40154581529581523
ESD,0.40154581529581523
PSP,0.40147089022089016
CIB,0.40147089022089016
ATL,0.40147089022089016
MEM,0.40147089022089016
WFB,0.40147089022089016
WFB,0.40147089022089016
WFB,0.40147089022089016
WFB,0.40147089022089016
A43,0.40144591519591516
ALZ,0.40144591519591516
KOY,0.40144591519591516
WWP,0.40144591519591516
WFB,0.40144591519591516
EDA,0.40144591519591516
CPX,0.40144591519591516
CPX,0.40144591519591516
VQS,0.40144591519591516
CPX,0.40144591519591516
CPX,0.40144591519591516
VQS,0.40144591519591516
MEM,0.40144591519591516
DFW,0.40144591519591516
HOT,0.40144591519591516
CHS,0.40144591519591516
PHL,0.40144591519591516
VNY,0.40144591519591516
VNY,0.40144591519591516
